entity_id,friendly_name,domain,platform,device_name,manufacturer,model,area,disabled,hidden
sensor.third_reality_inc_3rsnl02043z_lqi_3,LQI,sensor,zha,Garage South of East Wall Motion; Light;  Sensor,Third Reality; Inc,3RSNL02043Z,Garage,integration,
sensor.third_reality_inc_3rsnl02043z_lqi_4,LQI,sensor,zha,Upstairs_Hallway_Night_Light,Third Reality; Inc,3RSNL02043Z,Upstairs Hallway,integration,
sensor.third_reality_inc_3rsnl02043z_lqi_5,LQI,sensor,zha,Upstairs_Hallway_East_Wall_Night_Light,Third Reality; Inc,3RSNL02043Z,Upstairs Hallway,integration,
sensor.third_reality_inc_3rsnl02043z_lqi_6,LQI,sensor,zha,Living Room North Wall East Nightlight,Third Reality; Inc,3RSNL02043Z,Living Room,integration,
sensor.third_reality_inc_3rsnl02043z_lqi_7,LQI,sensor,zha,Entry_Room_East_Wall_Nightlight,Third Reality; Inc,3RSNL02043Z,Entry Room,integration,
sensor.third_reality_inc_3rsnl02043z_lqi_8,LQI,sensor,zha,Living Room North Wall West Nightlight,Third Reality; Inc,3RSNL02043Z,Living Room,integration,
sensor.third_reality_inc_3rsnl02043z_lqi_9,LQI,sensor,zha,Garage North of East Wall Motion; Light;  Sensor,Third Reality; Inc,3RSNL02043Z,Garage,integration,
sensor.third_reality_inc_3rsnl02043z_rssi,RSSI,sensor,zha,Garage South Wall Motion; Light;  Sensor,Third Reality; Inc,3RSNL02043Z,Garage,integration,
sensor.third_reality_inc_3rsnl02043z_rssi_10,RSSI,sensor,zha,Basement_Third Reality_Nightlight Motion Night Light,Third Reality; Inc,3RSNL02043Z,Basement,integration,
sensor.third_reality_inc_3rsnl02043z_rssi_11,RSSI,sensor,zha,Entry_Room_West_Wall_Nightlight,Third Reality; Inc,3RSNL02043Z,Entry Room,integration,
sensor.third_reality_inc_3rsnl02043z_rssi_12,RSSI,sensor,zha,Garage_North_Wall_Nightlight,Third Reality; Inc,3RSNL02043Z,Garage,integration,
sensor.third_reality_inc_3rsnl02043z_rssi_2,RSSI,sensor,zha,Stairwell_Night_Light,Third Reality; Inc,3RSNL02043Z,Stairway Cubby,integration,
sensor.third_reality_inc_3rsnl02043z_rssi_3,RSSI,sensor,zha,Garage South of East Wall Motion; Light;  Sensor,Third Reality; Inc,3RSNL02043Z,Garage,integration,
sensor.third_reality_inc_3rsnl02043z_rssi_4,RSSI,sensor,zha,Upstairs_Hallway_Night_Light,Third Reality; Inc,3RSNL02043Z,Upstairs Hallway,integration,
sensor.third_reality_inc_3rsnl02043z_rssi_5,RSSI,sensor,zha,Upstairs_Hallway_East_Wall_Night_Light,Third Reality; Inc,3RSNL02043Z,Upstairs Hallway,integration,
sensor.third_reality_inc_3rsnl02043z_rssi_6,RSSI,sensor,zha,Living Room North Wall East Nightlight,Third Reality; Inc,3RSNL02043Z,Living Room,integration,
sensor.third_reality_inc_3rsnl02043z_rssi_7,RSSI,sensor,zha,Entry_Room_East_Wall_Nightlight,Third Reality; Inc,3RSNL02043Z,Entry Room,integration,
sensor.third_reality_inc_3rsnl02043z_rssi_8,RSSI,sensor,zha,Living Room North Wall West Nightlight,Third Reality; Inc,3RSNL02043Z,Living Room,integration,
sensor.third_reality_inc_3rsnl02043z_rssi_9,RSSI,sensor,zha,Garage North of East Wall Motion; Light;  Sensor,Third Reality; Inc,3RSNL02043Z,Garage,integration,
sensor.third_reality_inc_3rsp02028bz_lqi,LQI,sensor,zha,Kitchen_Keurig_Plug,Third Reality; Inc,3RSP02028BZ,Kitchen,integration,
sensor.third_reality_inc_3rsp02028bz_lqi_10,LQI,sensor,zha,Basement_Flourescent_Light_Plug,Third Reality; Inc,3RSP02028BZ,Basement,integration,
sensor.third_reality_inc_3rsp02028bz_lqi_11,LQI,sensor,zha,Basement_Milwaukee_Charger_Smart_Plug,Third Reality; Inc,3RSP02028BZ,Basement,integration,
sensor.third_reality_inc_3rsp02028bz_lqi_12,LQI,sensor,zha,Basement_Echo_Smart_Plug,Third Reality; Inc,3RSP02028BZ,Basement,integration,
sensor.third_reality_inc_3rsp02028bz_lqi_13,LQI,sensor,zha,Garage_Projector_and_AV_Smart_Plug,Third Reality; Inc,3RSP02028BZ,Garage,integration,
sensor.third_reality_inc_3rsp02028bz_lqi_14,LQI,sensor,zha,Living_Room_TV_Smart_Plug,Third Reality; Inc,3RSP02028BZ,Living Room,integration,
sensor.third_reality_inc_3rsp02028bz_lqi_15,LQI,sensor,zha,Kitchen_Roomba_Smart_Plug,Third Reality; Inc,3RSP02028BZ,Kitchen,integration,
sensor.third_reality_inc_3rsp02028bz_lqi_16,LQI,sensor,zha,Kitchen_Lounge_Brava_Jet_Smart_Plug,Third Reality; Inc,3RSP02028BZ,Kitchen Lounge,integration,
sensor.third_reality_inc_3rsp02028bz_lqi_2,LQI,sensor,zha,Living_Room_Subwoofer_Plug,Third Reality; Inc,3RSP02028BZ,Living Room,integration,
sensor.third_reality_inc_3rsp02028bz_lqi_3,LQI,sensor,zha,Kitchen_Echo_Show_Plug,Third Reality; Inc,3RSP02028BZ,Kitchen,integration,
sensor.third_reality_inc_3rsp02028bz_lqi_4,LQI,sensor,zha,Living_Room_Echo_Show_Plug,Third Reality; Inc,3RSP02028BZ,Living Room,integration,
sensor.third_reality_inc_3rsp02028bz_lqi_5,LQI,sensor,zha,Basement AVR – HARD POWER RESET,Third Reality; Inc,3RSP02028BZ,Basement,integration,
