sheet,priority,category,entity_id,friendly_name,type,platform,manufacturer,area,status,action_needed,notes
Issues,INFO,Hue group entity,light.kitchen_hue_color_floor_lamp,Kitchen Hue Color Floor Lamp,Hue,hue,N/A,Kitchen,Action Needed,Use individual bulbs instead,
Issues,INFO,Hue group entity,light.kitchen_lounge,,Hue,hue,N/A,Kitchen Lounge,Action Needed,Use individual bulbs instead,
Issues,HIGH,Light missing area,light.kitchen_lounge_ceiling_1of2,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.kitchen_lounge_ceiling_2of2,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Light missing area,light.living_rm_lounge_table_lamps,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,INFO,Hue group entity,light.living_rm_lounge_table_lamps,,Hue,hue,N/A,,Action Needed,Use individual bulbs instead,
Issues,INFO,Hue group entity,light.living_room,,Hue,hue,N/A,Living Room,Action Needed,Use individual bulbs instead,
Issues,HIGH,Light missing area,light.living_room_floor_lamps,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,INFO,Hue group entity,light.living_room_floor_lamps,,Hue,hue,N/A,,Action Needed,Use individual bulbs instead,
Issues,INFO,Hue group entity,light.living_room_lounge,,Hue,hue,N/A,Sun Room,Action Needed,Use individual bulbs instead,
Issues,HIGH,Light missing area,light.living_room_lounge_ceiling_light,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,INFO,Hue group entity,light.living_room_lounge_ceiling_light,,Hue,hue,N/A,,Action Needed,Use individual bulbs instead,
Issues,HIGH,Light missing area,light.living_room_table_lamps,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,INFO,Hue group entity,light.living_room_table_lamps,,Hue,hue,N/A,,Action Needed,Use individual bulbs instead,
Issues,HIGH,Light missing area,light.living_room_west_floor_lamp,,Light,hue,N/A,,Action Needed,Assign to room in HA UI,
Issues,INFO,Hue group entity,light.master_bedroom,,Hue,hue,N/A,Master Bedroom,Action Needed,Use individual bulbs instead,
Issues,LOW,Disable unnecessary,light.master_bedroom_echo_glow,Master Bedroom Echo Glow,Disable,alexa_media,N/A,,Action Needed,Disable in entity settings,
Issues,LOW,Disable unnecessary,light.p_f_p_ubb_led,LED,Disable,unifi,N/A,Back Yard Tower,Action Needed,Disable in entity settings,
Issues,LOW,Disable unnecessary,light.toy_room_light,Kitchen Lamp,Disable,alexa_media,N/A,,Action Needed,Disable in entity settings,
Issues,INFO,Hue group entity,light.upstairs_hallway,,Hue,hue,N/A,Upstairs Hallway,Action Needed,Use individual bulbs instead,
Issues,INFO,Hue group entity,light.very_front_door,,Hue,hue,N/A,Very Front Door,Action Needed,Use individual bulbs instead,
Issues,INFO,Hue group entity,light.very_front_door_hallway,,Hue,hue,N/A,Very Front Door Hallway,Action Needed,Use individual bulbs instead,
Issues,HIGH,Sensor missing area,binary_sensor.1st_floor_bathroom_hallway_motion,1st Floor Bathroom Hallway Motion,Sensor,template,N/A,,Action Needed,Assign to room in HA UI,
