entity_id,friendly_name,sensor_type,platform,manufacturer,area,has_area,disabled,notes
sensor.aqara_temp_humidity_sensor_battery_type_5,Battery type,humidity,matter,Aqara,Ella's Bedroom,YES,,
sensor.aqara_temp_humidity_sensor_battery_type_6,Battery type,humidity,matter,Aqara,Alaina's Bedroom,YES,,
sensor.aqara_temp_humidity_sensor_battery_type_7,Battery type,humidity,matter,Aqara,,MISSING,,Aqara sensor - assign area
sensor.aqara_temp_humidity_sensor_battery_voltage,Battery voltage,humidity,matter,Aqara,1st Floor Bathroom,YES,,
sensor.aqara_temp_humidity_sensor_battery_voltage_2,Battery voltage,humidity,matter,Aqara,Basement,YES,,
sensor.aqara_temp_humidity_sensor_battery_voltage_3,Battery voltage,humidity,matter,Aqara,,MISSING,,Aqara sensor - assign area
sensor.aqara_temp_humidity_sensor_battery_voltage_4,Battery voltage,humidity,matter,Aqara,2nd Floor Bathroom,YES,,
sensor.aqara_temp_humidity_sensor_battery_voltage_5,Battery voltage,humidity,matter,Aqara,Ella's Bedroom,YES,,
sensor.aqara_temp_humidity_sensor_battery_voltage_6,Battery voltage,humidity,matter,Aqara,Alaina's Bedroom,YES,,
sensor.aqara_temp_humidity_sensor_battery_voltage_7,Battery voltage,humidity,matter,Aqara,,MISSING,,Aqara sensor - assign area
sensor.aqara_temp_humidity_sensor_humidity,Humidity,humidity,matter,Aqara,1st Floor Bathroom,YES,,
sensor.aqara_temp_humidity_sensor_humidity_2,Humidity,humidity,matter,Aqara,Basement,YES,,
sensor.aqara_temp_humidity_sensor_humidity_3,Humidity,humidity,matter,Aqara,,MISSING,,Aqara sensor - assign area
sensor.aqara_temp_humidity_sensor_humidity_4,Humidity,humidity,matter,Aqara,2nd Floor Bathroom,YES,,
sensor.aqara_temp_humidity_sensor_humidity_5,Humidity,humidity,matter,Aqara,Ella's Bedroom,YES,,
sensor.aqara_temp_humidity_sensor_humidity_6,Humidity,humidity,matter,Aqara,Alaina's Bedroom,YES,,
sensor.aqara_temp_humidity_sensor_humidity_7,Humidity,humidity,matter,Aqara,,MISSING,,Aqara sensor - assign area
sensor.aqara_temp_humidity_sensor_temperature,Temperature,temperature,matter,Aqara,1st Floor Bathroom,YES,,
sensor.aqara_temp_humidity_sensor_temperature_2,Temperature,temperature,matter,Aqara,Basement,YES,,
sensor.aqara_temp_humidity_sensor_temperature_3,Temperature,temperature,matter,Aqara,,MISSING,,CRITICAL: NEEDS AREA; Aqara sensor - assign area
sensor.aqara_temp_humidity_sensor_temperature_4,Temperature,temperature,matter,Aqara,2nd Floor Bathroom,YES,,
sensor.aqara_temp_humidity_sensor_temperature_5,Temperature,temperature,matter,Aqara,Ella's Bedroom,YES,,
sensor.aqara_temp_humidity_sensor_temperature_6,Temperature,temperature,matter,Aqara,Alaina's Bedroom,YES,,
sensor.aqara_temp_humidity_sensor_temperature_7,Temperature,temperature,matter,Aqara,,MISSING,,CRITICAL: NEEDS AREA; Aqara sensor - assign area
sensor.aqara_water_leak_sensor_battery,Battery,water,matter,Aqara,Kitchen,YES,,
sensor.aqara_water_leak_sensor_battery_2,Battery,water,matter,Aqara,Kitchen,YES,,
sensor.aqara_water_leak_sensor_battery_3,Battery,water,matter,Aqara,Kitchen,YES,,
sensor.aqara_water_leak_sensor_battery_4,Battery,water,matter,Aqara,Basement,YES,,
sensor.aqara_water_leak_sensor_battery_5,Battery,water,matter,Aqara,Basement,YES,,
