device_id,device_name,manufacturer,model,area,via_device,connections,disabled
5d8dbc571dc32a589f19fd6d5ca9f79b,Home Assistant Operating System,Home Assistant,Home Assistant Operating System,,,[],
878401ecb5eab831e4113cbc17a22540,Home Assistant Supervisor,Home Assistant,Home Assistant Supervisor,,,[],
af5b3397bbdc495bcb8e6e189db20631,Advanced SSH & Web Terminal,Home Assistant Community Add-ons,Home Assistant Add-on,,,[],
0cffbd4f23fc216c2f42c05170a6f0e0,Nginx Proxy Manager,Home Assistant Community Add-ons,Home Assistant Add-on,,,[],
ac36f8b96766e4ce1b55c0334ebb8b47,Plex Media Server,Home Assistant Community Add-ons,Home Assistant Add-on,,,[],
434a96f4aec92702d42bf306afec4d6f,Spotify Connect,Home Assistant Community Add-ons,Home Assistant Add-on,,,[],
9cc4d6fa2c0764ce76a2875bf66cb7b5,Studio Code Server,Home Assistant Community Add-ons,Home Assistant Add-on,,,[],
a24fde536e9cee76e878276af1762abb,UniFi Network Application,Home Assistant Community Add-ons,Home Assistant Add-on,,,[],
0489781ef8d00419ecf1929bd865b2de,1st Floor Bathroom Vanity Lights,Inovelli,VZM30-SN,1st Floor Bathroom,1a7b412ecc5db21a258f24d10fd7d6ba,[['zigbee'; '20:a7:16:ff:fe:01:8c:b8']],
17a59d3c437c3475f22c29dd2b76777a,Kitchen Above Table Chandelier Inovelli,Inovelli,VZM30-SN,Kitchen,1a7b412ecc5db21a258f24d10fd7d6ba,[['zigbee'; '18:0d:f9:ff:fe:9a:79:66']],
89ca030d64760ad87512e97d13a2737d,Kitchen Above Sink Hue Ceiling Can Light Inovelli Switch,Inovelli,VZM30-SN,Kitchen,1a7b412ecc5db21a258f24d10fd7d6ba,[['zigbee'; '18:0d:f9:ff:fe:34:56:52']],
70c1c990c1792ade4fc2eb2fd0d8487a,Back Door Patio Light Inovelli Switch,Inovelli,VZM30-SN,Back Patio,1a7b412ecc5db21a258f24d10fd7d6ba,[['zigbee'; 'c0:9b:9e:ff:fe:d1:2e:ec']],
d80c7fa6d013f0fd1cbdd6f67c6a1cac,Entry Room Ceiling Light Inovelli Smart Dimmer Switch,Inovelli,VZM31-SN,Entry Room,1a7b412ecc5db21a258f24d10fd7d6ba,[['zigbee'; '8c:8b:48:ff:fe:4d:18:9f']],
da86388fe031a58775ff29f220baeb6c,Kitchen Bar Pendant Lights Inovelli VZM31-SN,Inovelli,VZM31-SN,Kitchen,1a7b412ecc5db21a258f24d10fd7d6ba,[['zigbee'; '38:5b:44:ff:fe:e8:e8:06']],
f671e66f54a04d91862f87b971d73452,Kitchen Under Cabinet Lights Inovelli Switch,Inovelli,VZM31-SN,Kitchen,1a7b412ecc5db21a258f24d10fd7d6ba,[['zigbee'; '04:e3:e5:ff:fe:59:cd:45']],
a3047d38aa79fe5b892d91a221f30f69,Kitchen Ceiling Can LED Lights Inovelli,Inovelli,VZM31-SN,Kitchen,1a7b412ecc5db21a258f24d10fd7d6ba,[['zigbee'; 'b4:3a:31:ff:fe:3b:92:5e']],
5e2d477e04d216ab91a0c2f1364ab118,Kitchen Lounge Inovelli Smart Dimmer,Inovelli,VZM31-SN,Kitchen Lounge,1a7b412ecc5db21a258f24d10fd7d6ba,[['zigbee'; '04:e3:e5:ff:fe:5f:55:c6']],
0600639e50d4e1ed71fdaa1ef789e678,1st Floor Bathroom Ceiling Lights -  Dimmer Switch Inovelli VZM31-SN,Inovelli,VZM31-SN,1st Floor Bathroom,1a7b412ecc5db21a258f24d10fd7d6ba,[['zigbee'; '8c:8b:48:ff:fe:4b:42:23']],
608cdc81a73355aec629b4a3938fbbaf,Kitchen_Lounge_Light/Fan_Inovelli VZM36,Inovelli,VZM36,Kitchen Lounge,1a7b412ecc5db21a258f24d10fd7d6ba,[['zigbee'; '88:1a:14:ff:fe:41:e7:46']],
78023f899063f67531b08bca9f4c7b54,Living Room Light and Fan Inovelli Module,Inovelli,VZM36,Living Room,1a7b412ecc5db21a258f24d10fd7d6ba,[['zigbee'; '0c:2a:6f:ff:fe:f2:87:02']],
422011d891e29c38ab757bdcee9e86d8,,Intel Corporate,,,,[['mac'; '04:56:e5:48:f0:08']],
a22ae82714241a31d0f37ea1118675a6,LUMI lumi.sensor_wleak.aq1,LUMI,lumi.sensor_wleak.aq1,,1a7b412ecc5db21a258f24d10fd7d6ba,[['zigbee'; '00:15:8d:00:8b:8c:d5:5d']],
916fd127cbcc84e7f9bfd295ae089e81,Aqara-Hub-M3-926B,Lumi United Technology Co.; Ltd,,,,[['mac'; '18:c2:3c:55:ed:82']],
bdc7b67cda6eeb8570515b4aa4e64829,Forecast,Met.no,Forecast,,,[],
43d6e74245b3b5d6dcf6e87cdf2e609d,Forecast,Met.no,Forecast,,,[],
2890a74d88af41279ee00d5ab2213130,Attic Mini Split,Mitsubishi Electric,Unknown Model,Attic,,[],
d7d56fe1532a37dfe2abcb4cf9a3021a,Kitchen  Mini Split,Mitsubishi Electric,HEATING WALL MOUNTED INDOOR,Kitchen,,[],
ebb21d81264abf6bb23ac8ca02fdc828,Living Room  Mini Split,Mitsubishi Electric,HEATING WALL MOUNTED INDOOR,Living Room,,[],
